element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cr,1,"=""4890.22""","=""0.04""","=""4890.22""","=""0.04""","=""22*""","=""""",,"=""44393.02""","=""64836.29""","=""3d4.(3H).4s.4p.(3P*)""","=""z 5I*""","=""6""","=""3d4.4s.5s""","=""e 5H""","=""6""",,"=""""","=""L808""",
Fe,1,"=""4890.7548""","=""0.0007""","=""4890.7549""","=""0.0003""","=""58000""","=""2.25e+07""",B+,"=""23192.500""","=""43633.533""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""2""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""2""",,"=""T5720""","=""L11631""",
Fe,1,"=""4891.048""","=""0.005""","=""4891.0485""","=""0.0008""","=""195bl""","=""""",,"=""32873.632""","=""53313.438""","=""3d8""","=""c 3F""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""y 1H*""","=""5""",,"=""""","=""L11631""",
Fe,1,"=""4891.144""","=""0.004""","=""4891.1464""","=""0.0003""","=""60""","=""""",,"=""33412.717""","=""53852.114""","=""3d8""","=""c 3F""","=""3""","=""3d7.(4F).5p""","=""5G*""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""4891.4921""","=""0.0007""","=""4891.4920""","=""0.0003""","=""117000""","=""3.08e+07""",B+,"=""22996.674""","=""43434.627""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""4""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""3""",,"=""T5720""","=""L11631""",
Cr,1,"=""4891.59""","=""0.03""","=""4891.6026""","=""0.0005""","=""1""","=""""",,"=""25177.3539""","=""45614.8444""","=""3d4.4s2""","=""a 3F""","=""4""","=""3d5.(4G).4p""","=""y 5H*""","=""4""",,"=""""","=""L808""",
Cr,1,"=""4891.978""","=""0.004""","=""4891.9802""","=""0.0003""","=""2""","=""""",,"=""21856.9287""","=""42292.8417""","=""3d5.(4P).4s""","=""a 5P""","=""1""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""1""",,"=""""","=""L14866""",
Fe,1,"=""4892.8586""","=""0.0007""","=""4892.8587""","=""0.0003""","=""630""","=""""",,"=""34017.103""","=""54449.347""","=""3d7.(4F).4p""","=""y 5D*""","=""1""","=""3d7.(4F).4d""","=""f 3D""","=""1""",,"=""""","=""L11631""",
Fe,2,"=""4893.780""","=""0.015""","=""4893.81278""","=""0.00017""","=""20""","=""2.5e+03""",E,"=""22810.3459""","=""43238.6066""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(5D).4p""","=""z 6P*""","=""5/2""",,"=""T6892c83""","=""L7357""",
Cr,1,"=""4894.37""","=""0.03""","=""4894.381""","=""0.014""","=""25""","=""""",,"=""44514.35""","=""64940.241""","=""3d4.(3H).4s.4p.(3P*)""","=""z 5I*""","=""7""","=""3d4.4s.5s""","=""e 5H""","=""7""",,"=""""","=""L808""",
Cr,1,"=""4895.44""","=""0.06""","=""4895.4117""","=""0.0004""","=""3w""","=""""",,"=""24833.7957""","=""45255.3842""","=""3d5.(4G).4s""","=""a 3G""","=""3""","=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""3""",,"=""""","=""L808""",
Fe,2,"=""4896.4381""","=""0.0006""","=""4896.4347""","=""0.0003""","=""25bl(Fe I)""","=""""",,"=""102584.984""","=""123002.306""","=""3d6.(3G).5s""","=""f 4G""","=""11/2""","=""3d6.(3H<6>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L18349c139""",
Fe,1,"=""4896.4382""","=""0.0019""","=""4896.4383""","=""0.0003""","=""275""","=""5.4e+05""",E,"=""31322.613""","=""51739.920""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""2""",,"=""T2578n""","=""L11631""",
Cr,1,"=""4896.47""","=""0.03""","=""4896.4802""","=""0.0004""","=""4""","=""""",,"=""27597.2409""","=""48014.3731""","=""3d4.4s2""","=""b 3G""","=""3""","=""3d5.(4G).4p""","=""u 5F*""","=""4""",,"=""""","=""L808""",
Cr,1,"=""4897.515""","=""0.02""","=""4897.50689""","=""0.00022""","=""5""","=""""",,"=""20517.4222""","=""40930.2744""","=""3d5.(4G).4s""","=""a 5G""","=""2""","=""3d4.(5D).4s.4p.(1P*)""","=""x 5P*""","=""1""",,"=""""","=""L808""",
Cr,1,"=""4898.461""","=""0.008""","=""4898.4605""","=""0.0003""","=""1""","=""""",,"=""24897.4635""","=""45306.3417""","=""3d5.(4G).4s""","=""a 3G""","=""4""","=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""5""",,"=""""","=""L14866""",
Fe,2,"=""""","=""""","=""4898.6035""","=""0.0006""","=""""","=""1.15e+00""",C+,"=""15844.6485""","=""36252.931""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3D).4s""","=""b 2D""","=""5/2""",E2,"=""T8961""","=""""",
Fe,1,"=""4900.822""","=""0.005""","=""4900.8218""","=""0.0008""","=""20""","=""""",,"=""38678.039""","=""59077.084""","=""3d7.(4F).4p""","=""y 3D*""","=""2""","=""""","=""59077e""","=""1""",,"=""""","=""L11631""",
Fe,2,"=""4901.0537""","=""0.0009""","=""4901.0530""","=""0.0003""","=""130""","=""5.6e+06""",D+,"=""83459.721""","=""103857.804""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""4902.06""","=""0.06""","=""4901.972""","=""0.003""","=""10w""","=""""",,"=""33934.757""","=""54329.017""","=""3d4.4s2""","=""c 3D""","=""3""","=""3d4.4s.5p""","=""q 5F*""","=""3""",,"=""""","=""L808""",
Fe,1,"=""4902.163""","=""0.004""","=""4902.1657""","=""0.0003""","=""100""","=""""",,"=""26623.735""","=""47017.188""","=""3d7.(2D2).4s""","=""a 3D""","=""2""","=""3d7.(4P).4p""","=""w 3D*""","=""3""",,"=""""","=""L11631""",
Cr,1,"=""4903.2344""","=""0.0015""","=""4903.2374""","=""0.0022""","=""9""","=""7.4e+06""",D,"=""20517.4222""","=""40906.418""","=""3d5.(4G).4s""","=""a 5G""","=""2""","=""3d4.(5D).4s.4p.(1P*)""","=""y 5F*""","=""1""",,"=""T1621n""","=""L14866""",
Fe,1,"=""4903.3099""","=""0.0007""","=""4903.3097""","=""0.0003""","=""17400""","=""6.58e+06""",B+,"=""23244.838""","=""43633.533""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""1""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""2""",,"=""T5720""","=""L11631""",
Cr,1,"=""4905.050""","=""0.02""","=""4905.0532""","=""0.0024""","=""20""","=""""",,"=""37205.851""","=""57587.299""","=""3d5.(2G2).4s""","=""c 3G""","=""3""","=""3d5.(2F1).4p""","=""t 3G*""","=""4""",,"=""""","=""L808""",
Fe,1,"=""4905.1325""","=""0.0019""","=""4905.1326""","=""0.0003""","=""245""","=""5.3e+05""",E,"=""31686.351""","=""52067.469""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""2""",,"=""T2578n""","=""L11631""",
Fe,1,"=""4905.216""","=""0.004""","=""4905.2183""","=""0.0003""","=""30""","=""""",,"=""26627.609""","=""47008.371""","=""3d7.(2H).4s""","=""b 3H""","=""4""","=""3d6.(3H).4s.4p.(3P*)""","=""z 3H*""","=""5""",,"=""""","=""L11631""",
Fe,2,"=""4905.351""","=""""","=""4905.3514""","=""0.0003""","="":""","=""2.19e-01""",C+,"=""2430.1369""","=""22810.3459""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""",E2,"=""T9588,T10588c104""","=""L22747,L22760""",
Cr,1,"=""4905.37""","=""0.03""","=""4905.3659""","=""0.0005""","=""7""","=""""",,"=""24286.5418""","=""44666.6907""","=""3d5.(4D).4s""","=""b 5D""","=""1""","=""3d4.(3P1).4s.4p.(3P*)""","=""v 5P*""","=""1""",,"=""""","=""L808""",
Fe,2,"=""4906.837""","=""0.006""","=""4906.84488""","=""0.00024""","=""26""","=""6.7e+05""",D+,"=""82978.717""","=""103352.723""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""","=""3d6.(5D<3>).4f""","=""2[5]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4907.7315""","=""0.0007""","=""4907.7316""","=""0.0003""","=""1000""","=""""",,"=""27666.348""","=""48036.673""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""3d7.(4F).5s""","=""e 5F""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""4908.0298""","=""0.0019""","=""4908.0308""","=""0.0003""","=""275""","=""""",,"=""34017.103""","=""54386.186""","=""3d7.(4F).4p""","=""y 5D*""","=""1""","=""3d7.(4F).4d""","=""g 5F""","=""1""",,"=""""","=""L11631""",
Fe,2,"=""4908.1454""","=""0.0003""","=""4908.14553""","=""0.00024""","=""600""","=""1.85e+07""",C+,"=""83308.241""","=""103676.848""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""4908.56""","=""0.03""","=""4908.5692""","=""0.0005""","=""4""","=""""",,"=""24299.8419""","=""44666.6907""","=""3d5.(4D).4s""","=""b 5D""","=""2""","=""3d4.(3P1).4s.4p.(3P*)""","=""v 5P*""","=""1""",,"=""""","=""L808""",
Fe,1,"=""4908.599""","=""0.005""","=""4908.6046""","=""0.0005""","=""60""","=""""",,"=""20037.816""","=""40404.518""","=""3d6.4s2""","=""a 3P2""","=""0""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""1""",,"=""""","=""L11631""",
Fe,1,"=""4909.3831""","=""0.0007""","=""4909.3832""","=""0.0003""","=""1100""","=""""",,"=""31686.351""","=""52049.823""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,"=""""","=""L11631""",
Cr,1,"=""4909.878""","=""0.02""","=""4909.8847""","=""0.0007""","=""6""","=""""",,"=""21856.9287""","=""42218.321""","=""3d5.(4P).4s""","=""a 5P""","=""1""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""0""",,"=""""","=""L808""",
Fe,1,"=""4910.0166""","=""0.0007""","=""4910.0164""","=""0.0003""","=""3090""","=""""",,"=""27394.691""","=""47755.537""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d7.(4F).5s""","=""e 5F""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""4910.3255""","=""0.0007""","=""4910.3249""","=""0.0003""","=""1740""","=""""",,"=""33801.572""","=""54161.139""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).4d""","=""f 5G""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""4910.5645""","=""0.0007""","=""4910.5644""","=""0.0003""","=""1510""","=""""",,"=""34017.103""","=""54375.677""","=""3d7.(4F).4p""","=""y 5D*""","=""1""","=""3d7.(4F).4d""","=""f 5G""","=""2""",,"=""""","=""L11631""",
Ti,2,"=""4911.1950""","=""0.0005""","=""4911.1944""","=""0.0004""","=""109""","=""1.70e+07""",B+,"=""25192.9650""","=""45548.9273""","=""3d.4s2""","=""c 2D""","=""5/2""","=""3d2.(3P).4p""","=""y 2P*""","=""3/2""",,"=""T7385""","=""u37""",
Fe,1,"=""4911.5291""","=""0.0019""","=""4911.5303""","=""0.0003""","=""107""","=""1.9e+05""",E,"=""34328.752""","=""54683.322""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""f 3F""","=""4""",,"=""T2578n""","=""L11631""",
Fe,1,"=""4911.7791""","=""0.0007""","=""4911.7787""","=""0.0003""","=""407""","=""1.6e+06""",D,"=""31686.351""","=""52039.892""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""1""",,"=""T2578n""","=""L11631""",
Fe,2,"=""4911.957""","=""0.003""","=""4911.95821""","=""0.00022""","=""40""","=""1.1e+06""",D+,"=""83308.241""","=""103661.038""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4912.498""","=""0.004""","=""4912.4974""","=""0.0005""","=""50""","=""""",,"=""33412.717""","=""53763.280""","=""3d8""","=""c 3F""","=""3""","=""3d7.(2D2).4p""","=""x 1F*""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""4913.143""","=""0.004""","=""4913.1355""","=""0.0010""","=""76""","=""""",,"=""37162.746""","=""57510.666""","=""3d7.(4F).4p""","=""y 3F*""","=""3""","=""3d7.(4F).6s""","=""5F""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""4913.184""","=""0.003""","=""4913.18189""","=""0.00022""","=""50""","=""1.9e+06""",D+,"=""82978.717""","=""103326.445""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""4913.2951""","=""0.0002""","=""4913.29562""","=""0.00024""","=""1300""","=""2.58e+07""",B+,"=""82978.717""","=""103325.974""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""","=""3d6.(5D<3>).4f""","=""2[5]*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""4914.27""","=""0.03""","=""4914.2542""","=""0.0017""","=""3""","=""""",,"=""37244.011""","=""57587.299""","=""3d5.(2G2).4s""","=""c 3G""","=""4""","=""3d5.(2F1).4p""","=""t 3G*""","=""4""",,"=""""","=""L808""",
Fe,1,"=""""","=""""","=""4916.2620""","=""0.0003""","=""""","=""9.2e-02""",E,"=""704.007""","=""21038.987""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.4s2""","=""b 3F2""","=""2""",M1,"=""T6409""","=""""",
Ti,2,"=""4916.85""","=""""","=""4916.8535""","=""0.0005""","="":""","=""2.15e+00""",B,"=""4628.6571""","=""24961.1910""","=""3d2.(3F).4s""","=""a 2F""","=""5/2""","=""3d.4s2""","=""c 2D""","=""3/2""",M1+E2,"=""T3093""","=""L18001,L18000""",
Fe,1,"=""4917.2297""","=""0.0007""","=""4917.2295""","=""0.0003""","=""950""","=""6.4e+06""",D,"=""33801.572""","=""54132.551""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).4d""","=""h 5D""","=""1""",,"=""T2578n""","=""L11631""",
Fe,1,"=""4918.0122""","=""0.0007""","=""4918.0121""","=""0.0003""","=""620""","=""4.2e+06""",E,"=""34121.603""","=""54449.347""","=""3d7.(4F).4p""","=""y 5D*""","=""0""","=""3d7.(4F).4d""","=""f 3D""","=""1""",,"=""T2578n""","=""L11631""",
Fe,1,"=""4918.9535""","=""0.0007""","=""4918.9539""","=""0.0003""","=""1230""","=""""",,"=""33507.123""","=""53830.975""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d7.(4F).4d""","=""g 5F""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""4918.9937""","=""0.0007""","=""4918.9936""","=""0.0003""","=""69000""","=""1.79e+07""",B,"=""23110.939""","=""43434.627""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""3""",,"=""T5720""","=""L11631""",
Cr,1,"=""4919.427""","=""0.004""","=""4919.417""","=""0.012""","=""20""","=""""",,"=""44514.35""","=""64836.29""","=""3d4.(3H).4s.4p.(3P*)""","=""z 5I*""","=""7""","=""3d4.4s.5s""","=""e 5H""","=""6""",,"=""""","=""L9190""",
Fe,1,"=""4920.5028""","=""0.0007""","=""4920.5021""","=""0.0003""","=""195000""","=""3.58e+07""",B+,"=""22845.869""","=""43163.326""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""5""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""4""",,"=""T5720""","=""L11631""",
Cr,1,"=""4920.9398""","=""0.0013""","=""4920.9394""","=""0.0003""","=""12""","=""""",,"=""25038.4981""","=""45354.1500""","=""3d5.(4G).4s""","=""a 3G""","=""5""","=""3d5.(4G).4p""","=""z 3H*""","=""5""",,"=""""","=""L14866""",
Fe,2,"=""4922.1869""","=""0.0008""","=""4922.1932""","=""0.0003""","=""180""","=""8.e+06""",D+,"=""83558.569""","=""103869.046""","=""3d6.(5D).4d""","=""e 6F""","=""1/2""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c145""",
Cr,1,"=""4922.2647""","=""0.0005""","=""4922.2649""","=""0.0003""","=""230""","=""4.0e+07""",D,"=""25038.4981""","=""45348.6792""","=""3d5.(4G).4s""","=""a 3G""","=""5""","=""3d5.(4G).4p""","=""z 3H*""","=""6""",,"=""T1426n""","=""L14866""",
Cr,1,"=""4922.60""","=""0.03""","=""4922.5443""","=""0.0004""","=""5""","=""""",,"=""24282.3486""","=""44591.3768""","=""3d5.(4D).4s""","=""b 5D""","=""4""","=""3d4.(3F1).4s.4p.(3P*)""","=""y 5G*""","=""5""",,"=""""","=""L808""",
Fe,2,"=""4923.1542""","=""0.0019""","=""4923.1572""","=""0.0004""","=""180""","=""""",,"=""61332.753""","=""81639.253""","=""3d6.(3P2).4p""","=""y 4P*""","=""3/2""","=""3d5.4s2""","=""2F2""","=""5/2""",,"=""""","=""L18349c139""",
Fe,2,"=""4923.9216""","=""0.0002""","=""4923.92123""","=""0.00020""","=""5000""","=""4.3e+06""",C,"=""23317.6351""","=""43620.9842""","=""3d5.4s2""","=""a 6S""","=""5/2""","=""3d6.(5D).4p""","=""z 6P*""","=""3/2""",,"=""T7589""","=""L18349c139""",
Fe,1,"=""4924.298""","=""0.005""","=""4924.3008""","=""0.0005""","=""100bl*""","=""""",,"=""38678.039""","=""58979.823""","=""3d7.(4F).4p""","=""y 3D*""","=""2""","=""3d6.4s.(4D).4d""","=""3D""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""4924.298""","=""0.004""","=""4924.3013""","=""0.0003""","=""4bl(Fe I)""","=""""",,"=""104119.740""","=""124421.522""","=""3d6.(3H).4d""","=""2K""","=""15/2""","=""3d6.(3F2<4>).4f""","=""2[7]*""","=""15/2""",,"=""""","=""L18349c139""",
Fe,1,"=""4924.298""","=""0.005""","=""4924.3025""","=""0.0024""","=""100bl*""","=""""",,"=""40231.336""","=""60533.113""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.(5D).4p2.(3P)""","=""7F""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""4924.7692""","=""0.0007""","=""4924.7693""","=""0.0003""","=""3890""","=""4.23e+05""",C,"=""18378.186""","=""38678.039""","=""3d6.4s2""","=""a 3P2""","=""2""","=""3d7.(4F).4p""","=""y 3D*""","=""2""",,"=""T5720""","=""L11631""",
Fe,1,"=""4925.2831""","=""0.0019""","=""4925.2839""","=""0.0003""","=""129""","=""""",,"=""33095.941""","=""53393.673""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d7.(4F).4d""","=""g 5F""","=""4""",,"=""""","=""L11631""",
Ti,2,"=""4925.89""","=""""","=""4925.8869""","=""0.0003""","="":""","=""1.90e+00""",C+,"=""4897.7179""","=""25192.9650""","=""3d2.(3F).4s""","=""a 2F""","=""7/2""","=""3d.4s2""","=""c 2D""","=""5/2""",M1+E2,"=""T3093""","=""L18001,L18000""",
Fe,2,"=""4926.523""","=""0.004""","=""4926.52027""","=""0.00022""","=""25""","=""""",,"=""86416.370""","=""106709.008""","=""3d6.(5D).4d""","=""e 4F""","=""7/2""","=""3d6.(5D).6p""","=""4F*""","=""9/2""",,"=""""","=""L18349c139""",
Fe,1,"=""4927.4179""","=""0.0007""","=""4927.4177""","=""0.0003""","=""690""","=""2.58e+05""",D+,"=""28819.954""","=""49108.896""","=""3d7.(2H).4s""","=""a 1H""","=""5""","=""3d7.(2G).4p""","=""w 3F*""","=""4""",,"=""T5720""","=""L11631""",
Fe,1,"=""4927.490""","=""0.005""","=""4927.4887""","=""0.0005""","=""60""","=""""",,"=""36766.966""","=""57055.616""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""3""","=""3d6.4s.(6D).5d""","=""5G""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""4927.8679""","=""0.0003""","=""""","=""""","=""1100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11631""",
Fe,2,"=""4929.668""","=""0.004""","=""4929.6711""","=""0.0004""","=""8""","=""""",,"=""94700.415""","=""114980.083""","=""3d6.(3F1).4p""","=""2D*""","=""5/2""","=""3d6.(5D).6d""","=""6P""","=""7/2""",,"=""""","=""L18349c139""",
Cr,1,"=""4930.179""","=""0.02""","=""4930.1824""","=""0.0005""","=""30""","=""""",,"=""31008.9708""","=""51286.5356""","=""3d5.(2D3).4s""","=""b 3D""","=""3""","=""3d5.(4D).4p""","=""w 3P*""","=""2""",,"=""""","=""L808""",
Fe,1,"=""4930.3150""","=""0.0007""","=""4930.3149""","=""0.0003""","=""1050""","=""5.75e+06""",B,"=""31937.325""","=""52214.345""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""1""",,"=""T6110""","=""L11631""",
Cr,1,"=""4931.120""","=""0.004""","=""4931.120""","=""0.004""","=""15""","=""""",,"=""44666.532""","=""64940.241""","=""3d4.(3H).4s.4p.(3P*)""","=""z 5I*""","=""8""","=""3d4.4s.5s""","=""e 5H""","=""7""",,"=""""","=""L9190""",
Cr,1,"=""4932.545""","=""0.002""","=""4932.5471""","=""0.0003""","=""5""","=""""",,"=""25038.4981""","=""45306.3417""","=""3d5.(4G).4s""","=""a 3G""","=""5""","=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""5""",,"=""""","=""L14866""",
Cr,1,"=""4932.62""","=""0.03""","=""4932.615""","=""0.003""","=""4""","=""""",,"=""44534.429""","=""64801.993""","=""3d4.(3F1).4s.4p.(3P*)""","=""y 5G*""","=""4""","=""3d4.4s.5s""","=""e 5H""","=""5""",,"=""""","=""L808""",
Fe,1,"=""4933.191""","=""0.005""","=""4933.1904""","=""0.0003""","=""355bl""","=""""",,"=""33801.572""","=""54066.773""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).4d""","=""f 3D""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""4933.2945""","=""0.0019""","=""4933.2924""","=""0.0003""","=""204""","=""""",,"=""26623.735""","=""46888.517""","=""3d7.(2D2).4s""","=""a 3D""","=""2""","=""3d7.(4P).4p""","=""u 5D*""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""4933.3410""","=""0.0007""","=""4933.3408""","=""0.0003""","=""1550""","=""""",,"=""34121.603""","=""54386.186""","=""3d7.(4F).4p""","=""y 5D*""","=""0""","=""3d7.(4F).4d""","=""g 5F""","=""1""",,"=""""","=""L11631""",
Fe,1,"=""4933.8727""","=""0.0007""","=""4933.8728""","=""0.0003""","=""447""","=""""",,"=""31805.071""","=""52067.469""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""4934.0049""","=""0.0007""","=""4934.0048""","=""0.0003""","=""1820""","=""""",,"=""33507.123""","=""53768.979""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d7.(4F).4d""","=""f 5G""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""4934.0836""","=""0.0007""","=""4934.0834""","=""0.0003""","=""229""","=""""",,"=""26627.609""","=""46889.142""","=""3d7.(2H).4s""","=""b 3H""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3F*""","=""4""",,"=""""","=""L11631""",
Cr,1,"=""4934.879""","=""0.004""","=""4934.8766""","=""0.0005""","=""15""","=""""",,"=""31028.2590""","=""51286.5356""","=""3d5.(2D3).4s""","=""b 3D""","=""2""","=""3d5.(4D).4p""","=""w 3P*""","=""2""",,"=""""","=""L9190""",
Fe,2,"=""4935.373""","=""0.005""","=""4935.37494""","=""0.00020""","=""25""","=""3.6e+05""",D+,"=""83713.583""","=""103969.814""","=""3d6.(5D).4d""","=""6D""","=""7/2""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""4936.3354""","=""0.0007""","=""4936.3357""","=""0.0003""","=""58""","=""1.4e+07""",D,"=""25106.2953""","=""45358.5837""","=""3d4.4s2""","=""a 3F""","=""3""","=""3d5.(4G).4p""","=""z 3H*""","=""4""",,"=""T1621n""","=""L14866""",
Fe,2,"=""4937.0367""","=""0.0019""","=""4937.0391""","=""0.0006""","=""210""","=""""",,"=""57493.333""","=""77742.736""","=""3d5.4s2""","=""d 4P""","=""3/2""","=""3d6.(1D2).4p""","=""v 2F*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,2,"=""4937.0719""","=""0.0016""","=""4937.06987""","=""0.00025""","=""80""","=""1.4e+06""",D+,"=""83136.508""","=""103385.785""","=""3d6.(5D).4d""","=""e 6F""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4937.298""","=""0.004""","=""4937.2930""","=""0.0003""","=""79""","=""""",,"=""33412.717""","=""53661.079""","=""3d8""","=""c 3F""","=""3""","=""3d7.(4F).5p""","=""5F*""","=""3""",,"=""""","=""L11631""",
Cr,1,"=""4937.51""","=""0.03""","=""4937.5113""","=""0.0003""","=""5""","=""""",,"=""25038.4981""","=""45285.9649""","=""3d5.(4G).4s""","=""a 3G""","=""5""","=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""4""",,"=""""","=""L808""",
Fe,1,"=""4938.1735""","=""0.0007""","=""4938.1734""","=""0.0003""","=""2000""","=""""",,"=""31805.071""","=""52049.823""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""4938.8135""","=""0.0007""","=""4938.8138""","=""0.0003""","=""13200""","=""3.27e+06""",B+,"=""23192.500""","=""43434.627""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""2""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""3""",,"=""T5720""","=""L11631""",
Fe,1,"=""4939.239""","=""0.005""","=""4939.2354""","=""0.0003""","=""2240bl*""","=""""",,"=""34017.103""","=""54257.502""","=""3d7.(4F).4p""","=""y 5D*""","=""1""","=""3d7.(4F).4d""","=""g 5F""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""4939.239""","=""0.005""","=""4939.2408""","=""0.0003""","=""2240bl*""","=""""",,"=""33507.123""","=""53747.500""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d7.(4F).4d""","=""f 3D""","=""3""",,"=""""","=""L11631""",
